word	formalized_word
diuzahakan	diusahakan
dkembalikan	dikembalikan
dket	dekat
dket2in	dekat-dekati
dkit	sedikit
dkk	dan kawan-kawan
dkuburnya	dikuburnya
dl	dulu
dlam	dalam
dll	dan lain-lain
dlm	dalam
dlmnya	dalamnya
dlu	dulu
dluar	diluar
dmana	dimana
dmn	dimana
dmna	dimana
dmnt	diminta
dn	dan
dng	dengan
dngan	dengan
dngerin	mendengarkan
dngn	dengan
dnk	dong
do	di
do'a"	doa-doa
do'any	doanya
doa2	doa-doa
doaang	doang
doain	doakan
doang	saja
doangam	doang
doank	doang
doany	doanya
dodol	bodoh
doeloe	dulu
doi	dia
doku	uang
don juan	playboy
dongg	dong
donggg	dong
dongggg	dong
dongkol	kesal
dongs	dong
donk	dong
donkk	dong
donks	dong
donlot	unduh
donx	dong
doong	dong
doonk	dong
dooong	dong
doooonnggg	dong
dosa2mu	dosa-dosamu
dosaa	dosa
dosaaaaaaaaaa	dosa
dosax	dosanya
dp	dapat
dpan	depan
dpat	dapat
dpet	dapat
dpet2	dapat
dpke	dipakai
dpn	depan
dposisi	diposisi
dpotong	dipotong
dpt	dapat
dptin	dapatkan
dptkan	dapatkan
dptnya	dapatnya
dr	dari
dramaa	drama
dri	dari
drii	dari
drimana	darimana
drimnanya	darimananya
dripada	daripada
dripda	daripada
drmana	darimana
drmh	dirumah
drmn	darimana
drop sip	dropship
dropsgip	drophip
drpada	daripada
drpd	daripada
drtd	dari tadi
dsana	disana
dsangka	disangka
dsar	dasar
dsb	dan sebagainya
dsini	disini
dsn	disini
dsna	disana
dsni	disini
dsr	dasar
dsrahkan	diserahkan
dsrny	dasarnya
dsruh	disuruh
dssi	disisi
dst	dan seterusnya
dstu	disitu
dtang	datang
dteng	datang
dtg	datang
dtggu	ditunggu
dtgkan	datangkan
dtinggl	ditinggal
dtng	datang
dtnggu	ditunggu
dtunggu	ditunggu
dua2nya	dua-duanya
duanyaa	duanya
duetin	duet
dugem	dunia gemerlap
duh	aduh
duhh	duh
duhhh	duh
duhhhhh	duh
duit	uang
dulurrr	dulur
duluu	dulu
duluuu	dulu
dumsss	dong
dung	dong
dunk	dong
dureen	duren
duren	durian
durhaka2	durhaka-durhaka
duuhh	duh
duuhhh	duh
duuhhhhh	duh
duuuhh	duh
duuuhhh	duh
dwh	deh
dwsa	dewasa
dy	dia
dya	dia
ea	ya
eaa	ya
eakyu	waktu
ed	edisi
edaaaan	edan
edaaan	edan
edaaann	edan
edan	gila
edannn	edan
editannn	editan
eeeeeeh	eh
eeeeh	eh
eeeehhhh	eh
eeeh	eh
eeehh	eh
eeh	eh
eehh	eh
eehhh	eh
eey	eh
egp	emang gue pikirin
egp	memang gue pikirin
ehh	eh
ehhh	eh
eike	aku
eke	aku
eksprsi	ekspresi
elaaaahhhh	alah
elahh	alah
elo	kamu
elo	lo
elo	lu
elo2	lo-lo
elo2	lu-lu
eloo	lo
eloo	lu
elu	kamu
elu	lu
elus2	elus-elus
ema	emak
emak2	emak-emak
emakx	emaknya
emang	memang
emangnya	memangnya
emank	memang
emba2	mbak-mbak
emeessss	gemas
emeezzz	gemas
emeshh	gemas
emesshhh	gemas
emessss	gemas
emg	memang
emk	emak
emng	memang
emngnya	memangnya
emnknya	memangnya
empek2	mpek-mpek
emte	makan teman
enakkkkk	enak
endak	tidak
engga	enggak
engga	tidak
engga"	enggak-enggak
enggak	tidak
engk	enggak
enk	enak
entahhh	entah
entar	nanti
entr	entar
envy	iri
epe	apa
etc	et cetera
euyyyyy	euy
ex	mantan
exis	eksis
expresi	ekspresi
ext	extension
eyke	aku
fakta2	fakta-fakta
fakultass	fakultas
famer	pamer
fanazz	panas
fans	fan
fans2	fan-fan
fatanik	fanatik
fav	favorit
favoriteeee	favorit
fax	facsimile
fb	facebook
fhoto	foto
fhoto2	foto-foto
fhotonya	fotonya
fi	di
fifo	first in first out
fikiran	pikiran
fillm	film
filmny	filmnya
finek	finansial ekonomi
flim.a	filmnya
flm	film
folbek	follow back
fotbar	foto bareng
foto"	foto-foto
foto2	foto-foto
foto2nya	foto-fotonya
fotoin	memfoto
fotony	fotonya
frestasiii	prestasi
fto	foto
fto2	foto-foto
fwd	diterukan
fyi	sebagai informasi
g	enggak
ga	enggak
ga	tidak
gaa	enggak
gaada	enggak ada
gaada	tidak ada uang
gabakal	enggak bakal
gabisa	enggak bisa
gabisa	tidak bisa
gabung	bergabung
gada	enggak ada
gadiss	gadis
gag	enggak
gag	tidak
gagahx	gagahnya
gahar	sangar
gaharus	enggak harus
gaje	enggak jelas
gaje	tidak jelas
gajelas	enggak jelas
gak	enggak
gak	tidak
gak papa	enggak apa-apa
gak papa	tidak apa-apa
gakk	enggak
gakkk	enggak
gakpapa	enggak apa-apa
gakuat	enggak kuat
gakusah	enggak usah
gakwad	enggak kuat
gamau	enggak mau
gamau	tidak mau
gambarin	gambarkan
gampang	mudah
gan	juragan
gangguin	mengganggu
gans	ganteng
ganteeeeng	ganteng
ganteng2	ganteng-ganteng
gantengg	ganteng
gantenggg	ganteng
gantengkuuuuuu	gantengku
gantengnyaaaa	gantengnya
ganteung	ganteng
gantheng	ganteng
ganti'kn	menggantikan
gantiin	menggantikan
gantng	ganteng
gantweng	ganteng
gapake	enggak pakai
gapap	enggak apa-apa
gapapa	tidak apa-apa
gapernah	enggak pernah
gaprgi	enggak pergi
gaptek	gagap teknologi
gapunya	enggak punya
gara"	gara-gara
gara''	gara-gara
gara2	gara-gara
garemin	garami
garuk2	garuk-garuk
gasalah	enggak salah
gasih	enggak sih
gatau	enggak tahu
gatau	enggak tau
gatau	tidak tahu
gataunya	enggak taunya
gatek	gagap teknologi
gatot	gagal total
gausa	enggak usah
gausah	enggak usah
gawe	kerja
gawean	kerjaan
gawl	gaul
gawul	gaul
gax	enggak
gax	tidak
gayannxa	gayanya
gayany	gayanya
gayax	gayanya
gbs	enggak bisa
gbs	tidak bisa
gbung	gabung
gda	enggak ada
gda	tidak ada uang
gde	gede
gebetan	orang yang disuka
gebleg	geblek
gedeg	gedek
geeelaakk	gila
geer	gede rasa
geetoo	begitu
gegaranya	karena
gegra	gegara
geh	gih
gehh	gih
geje	enggak jelas
geje	tidak jelas
gelo	gila
gemay	gemas
gemeeezzzz	gemas
gemeessss	gemas
gemes	gemas
gemesiin	menggemaskan
gemesin	menggemaskan
gemesinnnnn	menggemaskan
gemesnya	gemasnya
gemess	gemas
gemesshh	gemas
gemesshzzzzhzzhzhzhsjssjs	gemas
gemesss	gemas
gemesyak	gemas ya
gemez	gemas
gemezz	gemas
gemezzzz	gemas
gemmeeezzz	gemas
genduut	gendut
geneeee	begini
genggg	geng
genittt	genit
gepeng	gelandangan dan pengemis
geuliiiiiiis	geulis
gewlaaaaa	gila
gg	enggak
gga	enggak
ghiey	lagi
ghiy	lagi
gi	lagi
giitu	begitu
gilaa	gila
gilaaa	gila
gilaaaa	gila
gilaaaaaa	gila
gilak	gila
gilakkk	gila
gilakkkkk	gila
gilakkkkkk	gila
gile	gila
gils	gila
gilsss	gila
gilzz	gila
giman	gigi mancung
gimana	bagaimana
gimanaa	bagaimana
gimanaaaa	bagaimana
gimn	bagaimana
gimna	bagaimana
gingsungny	gingsulnya
gini	begini
ginian	beginian
ginii	begini
giniii	begini
giniin	beginikan
gino	gigi nongol
ginting	ganteng
gitchu	gitu
githu	gitu
giti	begitu
gitu	begitu
gitu2	begitu-gitu
gituan	begituan
gituh	begitu
gituin	begitukan
gitulah	begitulah
gituu	begitu
gituuu	begitu
gituuuuu	begitu
gj	enggak jelas
gj	tidak jelas
gk	enggak
gk	tidak
gkhianati	mengkhianati
gkk	enggak
gkkan	enggak akan
gksalah	enggak salah
gksi	enggak sih
glembeeeer	gelambir
gmana	bagaimana
gmanapun	bagaimanapun
gmau	enggak mau
gmn	bagaimana
gmna	bagaimana
gmpg	gampang
gn	begini
gndakan	gandakan
gni	begini
gnii	begini
gnt	ganti
gnti	ganti
gnyngka	enggak menyangka
goblog	goblok
goblok	bodoh
goblokkk	goblok
gokiiill	gila
gokil	gila
gokill	gila
gokilll	gila
gokillllll	gila
gokilnya	gilanya
golput	golongan putih
gombal	suka merayu
goncengin	boncengkan
gosipin	menggosipkan
gossip2.an	gosip-gosipan
gowes	mengayuh sepeda
gpl	enggak pakai lama
gpl	tidak pakai lama
gpny	enggak punya
gpny	tidak punya
gpp	enggak apa-apa
gpp	tidak apa-apa
gr	gede rasa
gr2	gara-gara
gra2	gara-gara
graaatiiiis	gratis
gratiss	gratis
gratisss	gratis
greged	greget
gretong	gratis
gretongan	gratisan
grgr	gara-gara
grunya	gurunya
gt	begitu
gtau	enggak tau
gtau	tidak tahu
gthu	begitu
gtu	begitu
gtu"	begitu-gitu
gtu"an	begitu-gituan
gtu2	begitu-gitu
gtuan"	begitu-gituan
gtuh	begitu
gtuu	begitu
gtw	enggak tau
gtw	tidak tahu
gua	saya
guaa	gua
guaaaaaaa	gua
guanteng	ganteng
gue	saya
guee	gue
gueee	gue
gueeeee	gue
gunaa	guna
guoblok	goblok
guw	gue
guys	teman-teman
gw	gue
gw	saya
gws	cepat sembuh
gx	enggak
gya	gaya
ha	tertawa
hadapin	menghadapi
haddeh	aduh
hadeeehhh	aduh
hadeehh	aduh
hadeeuh	aduh
hadeuh	aduh
hadeuhhh	aduh
hadeuuh	aduh
hadeuuhhhh	aduh
hadirr	hadir
hadirrr	hadir
haduh	aduh
haduuuh	aduh
haghaghag	tertawa
haha	tertawa
haii	hai
haiii	hai
haiiiii	hai
haiiiiiiii	hai
hakhak	tertawa
hal2	hal-hal
halahh	alah
halangin	halangi
halllo	halo
hallo	halo
hallooo	halo
hallow	halo
halooo	halo
halow	halo
hampasss	hempas
hancurin	menghancurkan
hancuuuuuy	hancur
handak	bahan peledak
hankam	pertahanan dan keamanan
hansip	pertahanan sipil
happi"	hepi-hepi
hapusin	hapuskan
haragain	menghargai
harapan2	harapan-harapan
hargs	harga
hari2	hari-hari
harpkan	harapkan
haru	hari
haru	harus
harus'e	harusnya
haruss	harus
hasilnyaaa	hasilnya
haslnya	hasilnya
hat	hati
hati"	hati-hati
hati.a	hatinya
hati2	hati-hati
hatii	hati
hatiiii	hati
haxa	hanya
hay	hai
hayal	khayal
hayalanku	khayalanku
hayoo	ayo
hayooo	hayo
hayukk	hayo
hayuu	ayo
hayuu	hayo
hayuukk	ayo
hbis	habis
hbis	setelah
hbs	habis
hbungi	hubungi
hdk	hendak
hdp	hidup
hdpn	hadapan
hdpnya	hidupnya
hdup	hidup
hebaat	hebat
hebatt	hebat
hebbohh	heboh
hedeuuhh	aduh
heeee	hai
hehe	he
hehh	eh
heii	hai
helloo	halo
hellooooooo	halo
hellow	halo
helo	halo
helooooo	halo
helow	halo
hematt	hemat
hempaass	hempas
hey	hai
hgga	hingga
hi	hai
hianatin	khianati
hidiyah	hidayah
hiduppp	hidup
hidupppp	hidup
hidupx	hidupnya
hiduupppp	hidup
hiii	hai
hijaabbb	hijab
hijabb	hijab
hijap	hijab
hilangin	menghilangkan
hilangv	hilang
himana	bagaimana
hiraukn	hiraukan
hiri	hari
hitzzz	hits
hlm	halaman
hlng	hilang
hmpir	hampir
hndak	hendak
hndk	hendak
hngga	hingga
hny	hanya
hnya	hanya
hoax	isu bohong
hokiii	hoki
horassss	horas
horee	hore
horeee	hore
horeeee	hore
hotak	botak
hotx	hotnya
houm	rumah
hpus	hapus
hr	hari
hrapan	harapan
hrga	harga
hri	hari
hrpan	harapan
hrs	harus
hrsny	harusny
hrsnya	harusnya
hrus	harus
hrusnya	harusnya
hslnya	hasilnya
ht	hati
hub	hubungan
hub	hubungi
hub	menghubungi
hubad	hubungan angkatan darat
hubdar	perhubungan darat
hubla	perhubungan laut
hubngan	hubungan
hubunggi	hubungi
huff	mengeluh
huft	mengeluh
hujatann	hujatan
hum	rumah
humas	hubungan masyarakat
humz	rumah
hy	hai
iaa	iya
iaa	ya
ibliss	iblis
ibu"	ibu-ibu
ibu2	ibu-ibu
ibuk	ibu
ibuk2	ibu-ibu
ibukq	ibuku
ibuq	ibuku
idamann	idaman
idk	saya tidak tahu
idolaa	idola
idoolaaa	idola
idung	hidung
idungnya	hidungnya
idup	hidup
idupnya	hidupnya
igtlah	ingatlah
ihh	ih
ihhh	ih
ihhhh	ih
ihhhhh	ih
iibuuu	ibu
iih	ih
iihh	ih
iiih	ih
iiihh	ih
iiihhhh	ih
iiihhhhh	ih
iiii	ih
iiiihhhhhj	ih
iiiiiiiii	ih
iiiiiiiiii	ih
ijap	ijab
ikh	ih
ikut2	ikut-ikut
ikut2an	ikut-ikutan
ikutin	ikuti
ikutin	mengikuti
ilang	hilang
ilang"	hilang-hilang
ilang-in	hilangkan
ilang2	hilang-hilang
ilang2an	hilang-hilangan
ilfeel	tidak suka
ilfil	tidak suka
ilmh	ilmu
imba	jago sekali
imdahnya	indahanya
imho	in my humble opinion
imoet	imut
imoetz	imut
impiaaan	impian
impianqu	impianku
imut2	imut-imut
imutt	imut
imutttttt	imut
imuttzz	imut
imuutt	imut
imuuttt	imut
in	ini
inbok	inbox
inchi	inch
indahhh	indah
indefendet	independen
indo	indonesia
indoneaia	indonesia
indonesiaaa	indonesia
indonesiaah	indonesia
info	informasi
infoin	infokan
infox	infonya
infpyunnnn	ampun
ingeet	ingat
inget	ingat
ingetin	ingatkan
ingetin	mengingatkan
inggat	ingat
inggrisny	inggrisnya
inghinn	ingin
ingi	ingin
inginkn	inginkan
ingt	ingat
inia	ini
iniehh	ini
inih	ini
inihhh	ini
inii	ini
iniii	ini
iniiiii	ini
iniiiiiiiiiiiiiii	ini
iniw	ini
inni	ini
insonniaaa	insomnia
iooo	lo
iooo	lu
iriiiii	iri
iseng"	iseng-iseng
iseng2	iseng-iseng
istimewaaa	istimewa
istiqamah	istikamah
istiqomah	istikamah
istiqomahhh	istikamah
it	itu
item	hitam
ithu	itu
ituh	itu
itumahh	itumah
itung	hitung
itungan	hitungan
itutop	itu top
ituu	itu
ituuu	itu
ituuuu	itu
ityl	itil
iu	itu
iy	iya
iyaa	iya
iyaaa	iya
iyaaaa	iya
iyaap	iya
iyaappps	iya
iyah	iya
iyak	iya
iyap	iya
iye	iya
iyes	iya
iyh	iya
iyha	iya
iyo	iya
iyuh	ih
iyuuhhh	ih
iyuuuhhhh	ih
j	saja
ja	saja
jaaangan	jangan
jaadii	jadi
jablay	jarang dibelai
jadii	jadi
jadiin	jadikan
jadilh	jadilah
jadu	jadi
jadul	jaman dulu
jadulnya	jaman dulunya
jagain	jaga
jagain	jagakan
jagain	menjaga
jahatin	menjahati
jaim	jaga image
jakety	jaketnya
jalan"nya	jalan-jalannya
jalan2	jalan-jalan
jalan2x	jalan-jalan
jalanani	jalankan
jalanani	menjalani
jalanin	jalankan
jalanin	menjalani
jalannya"	jalan-jalannya
jalan²	jalan-jalan
jamam	jaman
jaman2	jaman-jaman
jaman2nya	jaman-jamannya
jan	jangan
jancuk	anjing
jangan"	jangan-jangan
jangan2	jangan-jangan
janjutin	lanjutkan
janka	jangka
jaoooh	jauh
jari2	jari-jari
jateng	jawa tengah
jatoh	jatuh
jatuhnyaa	jatuhnya
jauhh	jauh
jauhhh	jauh
jauhin	jauhi
jauuhhh	jauh
jawabanny	jawabannya
jawabx	jawabannya
jayus	tidak lucu
jd	jadi
jd'y	jadinya
jdi	jadi
jdii	jadi
jdikan	jadikan
jdulnya	judulnya
jdwal	jadwal
jdwl	jadwal
jelajahin	jelajahi
jelas"	jelas-jelas
jelas2	jelas-jelas
jelase	jelas
jelashh	jelas
jelasin	jelaskan
jelasssss	jelas
jelek"in	menjelek-jelekkan
jelek2	jelek-jelek
jelekin	menjelekkan
jelekin"	menjelek-jelekkan
jelex	jelek
jels	jelas
jem	jam
jendes	janda
jendess	janda
jendesss	janda
jendral	jenderal
jeniuss	jenius
jerewi	jerawat
jg	juga
jga	juga
jgan	jangan
jgk	juga
jgn	jangan
jgn2	jangan-jangan
jgnkan	jangankan
jh	saja
jidad	jidat
jijay	jijik
jilbabny	jilbabnya
jilbabnyaah	jilbabnya
jilbabnye	jilbabnya
jilbb	jilbab
jing	anjing
jir	anjing
jirr	anjir
jirrrr	anjir
jjur	jujur
jk	jika
jkrta	jakarta
jkt	jakarta
jl	jalan
jlbb	jilbab
jlek	jelek
jln	jalan
jln2	jalan-jalan
jlnnya	jalanya
jls2	jelas-jelas
jmnya	jamnya
jmpaaaa	jumpa
jnagn	jangan
jnda	janda
jng	jangan
jngan	jangan
jngn	jangan
jngnn	jangan
jnj	janji
jodohny	jodohnya
jodohx	jodohnya
jogetin	berjoget
jomblo	tidak punya pacar
jombsss	jomblo
jorokkkk	jorok
jorookknya	joroknya
jrang	jarang
jrg	jarang
jrnk	jarang
jt	juta
jth	jatuh
jti juta
jualanq	jualanku
jubir	juru bicara
judulnyaa	judulnya
jug	juga
jugaa	juga
jugaaa	juga
jugaakk	juga
jugak	juga
jungkiir	jungkir
jurdil	jujur adil
justeru	justru
jutek	galak
jwab	jawab
jwb	jawab
jwban	jawaban
jwbannya	jawabannya
jwbn	jawaban
jwbnya	jawabnya
jwn	jawabannya
k	kak
k	kakak
k	ke
k'	kak
k'	kakak
ka	kak
ka	kakak
ka.2	ka
ka2	ka-ka
ka2k	kakak
kaa	kak
kaa	kakak
kaaa	kak
kaaa	kakak
kaaaa	kak
kaaaa	kakak
kaaaaa	kak
kaaaaa	kakak
kaaaaaaaaaakkkkkkkkkkk	kak
kaaaaaaaaaakkkkkkkkkkk	kakak
kaaaaaann	kan
kaaakk	kak
kaaakk	kakak
kaaan	kan
kaak	kak
kaak	kakak
kaakaaaa	kakak
kaakk	kak
kaakk	kakak
kaan	kan
kaannnn	kan
kaasian	kasihan
kab	kabupaten
kabag	kepala bagian
kabinq	kabinku
kabor	kabur
kacauuuu	kacau
kacian	kasihan
kaciiaann	kasihan
kacrut	kacau
kadang2	kadang-kadang
kadit	kepala direktorat
kadiv	kepala divisi
kafeh	kafe
kaga	kagak
kaga	tidak
kagak	tidak
kageeet	kaget
kageet	kaget
kaitannha	kaitannya
kaj	kak
kaj	kakak
kaka	kakak
kakak2	kakak-kakak
kakakaaaaaaaaaaaaaa	kakak
kakakgh	kakak
kakakkk	kakak
kakakny	kakaknya
kakakuuu	kakakku
kakanga	kakaknya
kakanya	kakaknya
kakau	kalau
kakk	kak
kakk	kakak
kakkk	kak
kakkk	kakak
kakkkk	kak
kakkkk	kakak
kakkkkk	kak
kakkkkk	kakak
kalahnye	kalahnya
kale	kali
kaleee	kali
kaliaan	kalian
kaliann	kalian
kaliannn	kalian
kaliannnnnm	kalian
kaliannnnnn	kalian
kaliannnnnnn	kalian
kalii	kali
kaliii	kali
kaliiii	kali
kaliiiiiii	kali
kaliiin	kalian
kalik	kali
kalli	kali
kallo	kalau
kallo	kalo
kalo	kalau
kalogak	kalau enggak
kalogak	kalo enggak
kalok	kalau
kalok	kalo
kaloo	kalau
kaloo	kalo
kalu	kalau
kalw	kalau
kam	kamu
kamiiii	kami
kamo	kamu
kampret	sialan
kampungn	kampungan
kamtib	keamanan dan ketertiban
kamtibmas	keamanan dan ketertiban masyarakat
kamu2	kamu-kamu
kamuh	kamu
kamunyaa	kamunya
kamuu	kamu
kamuuuu	kamu
kamuwh	kamu
kamyu	kamu
kamyuhhh	kamu
kana	kanan
kanapa	kenapa
kancang	kencang
kangeeeeeeeeeeennnnn	kangen
kangeeeeeeeeennnnnnnn	kangen
kangeeeeeeeenya	kangen
kangeeeeennn	kangen
kangeeeennn	kangen
kangeeeennnnn	kangen
kangeeerrn	kangen
kangeen	kangen
kangeenn	kangen
kangem	kangen
kangenn	kangen
kangennn	kangen
kangennnn	kangen
kangennnnn	kangen
kangennnnnmnnnnnnnnnnnnnnnnn	kangen
kangennnnnn	kangen
kangennnnnnn	kangen
kangennnnnnnnnnnnnnnn	kangen
kanggen	kangen
kanggggg	kang
kann	kan
kannn	kan
kanwil	kantor wilayah
kapaan	kapan
kapan"	kapan-kapan
kapan2	kapan-kapan
kapn	kapan
kapt	kapten
kareno	karena
karir.a	karirnya
karmaaa	karma
karna	karena
kartunin	kartun
karya"	karya-karya
karya2	karya-karya
kasar2	kasar-kasar
kasat	kepala satuan
kasi	kasih
kasiaannn	kasihan
kasian	kasihan
kasiannn	kasihan
kasiatnya	khasiatnya
kasihn	kasihan
kasiian	kasihan
kasubbag	kepala subbagian
kasubbid	kepala subbidang
kata"	kata-kata
kata2	kata-kata
kata2nya	kata-katanya
kata2nyaaa	kata-katanya
katanyaa	katanya
katax	katanya
kate	kata
katrok	kampungan
kau	kamu
kauuuu	kau
kawan2	kawan-kawan
kawinin	mengawini
kaya	kayak
kaya'a	kayanya
kayaa	kaya
kayahhh	kaya
kayakk	kayak
kayanya	kayaknya
kayanye	kayanya
kayaq	kayak
kayax	kayak
kbahagiaan	kebahagiaan
kbar	kabar
kbawa	terbawa
kberkahn	keberkahan
kbetulan	kebetulan
kbiasaan	kebiasaan
kbr	kabar
kbtln	kebetulan
kbun	kebun
kcantikan	kecantikan
kcewa	kecewa
kcian	kasihan
kcil	kecil
kcokan	kocokan
kcwa	kecewa
kdang	kadang
kdg	kadang
kdg2	kadang-kadang
kdng	kadang
kdu	harus
kdua	kedua
ke3	ke tiga
keak	kayak
keb	kebayoran
kebagi	terbagi
kebaikan"y	kebaikannya
kebaikany"	kebaikannya
kebalas	terbalas
kebangetak	kebangetan
kebanggan	kebanggaan
kebarat2an	kebarat-baratan
kebawa	terbawa
kebayang	terbayang
kebayanyaa	kebayanya
kebeli	membeli
keberhasilanq	keberhasilanku
keberpa	keberapa
kebnyak'an	kebanyakan
kebongkar	terbongkar
kebukaaa	terbuka
kebukti	terbukti
keburu	terlanjur
kebykan	kebanyakan
kec	kecamatan
kecab	kepala cabang
kecantikanga	kecantikannya
kece	cantik
kece"	cantik-cantik
kece2	kece-kece
keceee	kece
keceh	cantik
keche	kece
keciil	kecil
keciill	kecil
kecik	kecil
kecil"	kecil-kecil
kecptan	kecepatan
kecr	kece
kedengeran	kedengaran
kedengeran	terdengar
kedepanx	kedepannya
kedokk	kedok
kedpan	kedepan
keduaa	kedua
kedubes	kedutaan besar
keedaannya	keadaannya
keee	ke
keeeeeren	keren
keeeerrrreeeennnnnnnnn	keren
keinget	teringat
keinginanq	keinginanku
keingunanku	keinginanku
kejadianny	kejadiannya
kejahatn	kejahatan
kejar"	kejar-kejar
kejawab	terjawab
kejurnas	kejuaraan nasional
kejuu	keju
kek	kayak
kek	seperti
kekeuh	keras kepala
kekgini	kayak begini
kekk	kayak
keknya	kayaknya
kekuranganny	kekurangannya
kel	keluarga
kel	kelurahan
kelahuran	kelahiran
kelaluan	kelakuan
kelar	selesai
kelar2	selesai-selesai
kelas'a	kelasnya
keles	kali
keliatan	kelihatan
keliatannya	kelihatannya
kellen	kalian
keluar2	keluar-keluar
keluargaq	keluargaku
keluarin	keluarkan
keluarin	mengeluarkan
kelus	kali
kemakan	termakan
kemana2	kemana-mana
kemaren	kemarin
kemarenn	kemarin
kemariin	kemarin
kemarin2	kemarin-kemarin
kemarn	kemarin
kembaq	kembar
kemn	kemana
kemuh	kamu
kenaliiin	kenalkan
kenalin	kenalkan
kenalin	memperkenalkan
kenalin	mengenalkan
kenapaa	kenapa
kenape	kenapa
kenceng	kencang
kencng	kencang
kencqng	kencang
keneh	masih
kenyataan2	kenyataan-kenyataan
kepad	kepada
kepd	kepada
kepda	kepada
kepeleset	kepleset
kepelesett	terpeleset
kepending	tertunda
kepengen	mau
kepikir	terpikir
kepikiran	terpikirkan
kepingin	mau
kepingin	pengin
kepo	mau tahu urusan orang
kepoh	kepo
kepoin	kepo
kepoin	kepoi
kepoin	mengepoi
kepppoin	kepoi
kepsek	kepala sekolah
keputihn	keputihan
keq	kayak
keq	kek
kerasin	kerasi
kerass	keras
kere	tidak punya uang
kereeeeen	keren
kereeeeennn	keren
kereeeeennnn	keren
kereeeen	keren
kereeen	keren
kereeennnn	keren
kereen	keren
kereenn	keren
kereennn	keren
keren"	keren-keren
keren2	keren-keren
kerenn	keren
kerennn	keren
kerennnn	keren
kerennnnn	keren
kerjaan	pekerjaan
kerreeen	keren
kerrennn	keren
kerrrrennnn	keren
kesalahanny	kesalahannya
kesampean	kesampaian
kesbang	kesatuan bangsa
kesekolah	ke sekolah
keseruaann	keseruan
kesian	kasihan
kesinii	kesini
kesiniii	kesini
kesra	kesejahteraan rakyat
ketaatanny	ketaatannya
ketara	tertara
ketarik	tertarik
ketauan	ketahuan
ketawaa	ketawa
ketawain	mentertawakan
ketawakkkk	ketawa
ketemuuu	ketemu
ketipu	tertipu
ketmu	bertemu
ketrima	diterima
ketuker	tertukar
keukeuh	keras kepala
kgak	kagak
kgeeeen	kangen
kgiatan	kegiatan
kgn	kangen
kh	kah
kha	kah
khadiran	kehadiran
khadirannya	kehadirannya
khan	kan
kharismanya	karismanya
khatamin	khatamkan
khdpn	kehidupan
khidupan	kehidupan
khusus'y	khususnya
kibul	bohong
kibus	kaki busuk
kimpoi	kawin
kira"	kira-kira
kira2	kira-kira
kirain	mengira
kiriii	kiri
kirimin	mengirimi
kitaa	kita
kitaaa	kita
kite	kita
kiya	kita
kk	kakak
kka	kakak
kkak	kakak
kkecewaan	kekecewaan
kki	kaki
kklau	kalau
kkntor	ke kantor
kl	kalau
kl	kalo
klahiran	kelahiran
klakuan	kelakuan
klas	kelas
klau	kalau
klauu	kalau
klen	kalian
klepek2	klepek-klepek
klg	keluarga
klhran	kelahiran
kli	kali
klian	kalian
klianz	kalian
kliatan	kelihatan
kliatanya	kelihatannya
klihatan	kelihatan
klk	kelak
klkuan	kelakuan
kll	kalau
kll	kalo
klmbutan	kelembutan
klmpk	kelompok
klmpok	kelompok
kln	kalian
klo	kalau
klo	kalo
klok	kalau
klok	kalo
klompok	kelompok
kloop	klop
kloter	kelompok terbang
klow	kalau
klr	selesai
klrga	keluarga
kls	kelas
klu	kalau
kluar	keluar
kluarga	keluarga
kluargaq	keluargaku
klw	kalau
klwrga	keluarga
km	kami
km	kamu
kmana	kemana
kmana2	kemana-mana
kmar	kamar
kmaren	kemarin
kmaren"	kemarin-kemarin
kmari	kemari
kmariiin	kemarin
kmarin	kemarin
kmauan	kemauan
kmbali	kembali
kmbang	kembang
kmbl	kembali
kmewahan	kemewahan
kmi	kami
kmn	kemana
kmnn	kemana
kmps	kampus
kmpus	kampus
kmren	kemarin
kmrin	kemarin
kmrn	kemarin
kmu	kamu
kmudahan	kemudahan
kn	kan
knal	kenal
knan	kanan
knapa	kenapa
kndung	kandung
kngen	kangen
kngenn	kangen
kngn	kangen
knl	kenal
knlan	kenalan
knp	kenapa
knpa	kenapa
knpp	kenapa
knsul	konsultasi
kntor	kantor
knyataan	kenyataan
ko	kok
kobul	kabul
kocaaaak	kocak
kocaaaakkk	kocak
kocaan	kocokan
kocakkk	kocak
kocakkkkkk	kocak
kocakkkkkkkkkkkkkk	kocak
koclak	kocak
kocoka	kocokan
kocokn	kocokan
kodya	kota madya
kog	kok
kokkk	kok
kokohh	engkoh
komdis	komisi disiplin
komen	komentar
komen2	komen-komen
komen2an	komen-komenan
komenan	komentar
komenannya	komentarnya
komennya	komentarnya
koment	komentar
komentar2	komentar-komentar
komentarin	komentari
komentarin	mengomentari
komentnya	komentarnya
komenx	komennya
komit	komitmen
komntr	komentar
kompi	komputer
kompirmasi	konfirmasi
komplaen	komplain
komplen	komplain
komplenan	komplain
komplin	komplain
komsov	komunis sovyet
komtiong	komunis Tiongkok
komuk	muka
komunitas2	komunitas-komunitas
kongkow	kumpul bareng teman-teman
konjen	konsulat jenderal
konsekwensi	konsekuensi
konsul	konsultasi
kontak2	kontak-kontak
konten2	konten-konten
kopdar	kopi darat
